user_id,timestamp,funnel_stage,lifecycle_segment
USR_1102,2025-02-21 00:00:00,feature_usage,at-risk
USR_1700,2025-01-21 00:00:00,onboarding_start,new
USR_1330,2025-03-16 00:00:00,payment_success,active
USR_1663,2025-01-03 00:00:00,onboarding_start,churned
USR_1491,2025-01-30 00:00:00,onboarding_start,new
USR_1276,2025-02-02 00:00:00,onboarding_start,active
USR_1747,2025-03-30 00:00:00,onboarding_start,active
USR_1681,2025-03-01 00:00:00,onboarding_complete,active
USR_1686,2025-03-03 00:00:00,onboarding_start,active
USR_1504,2025-01-03 00:00:00,payment_success,active
USR_1166,2025-01-18 00:00:00,feature_usage,churned
USR_1241,2025-01-09 00:00:00,onboarding_start,active
USR_1091,2025-03-01 00:00:00,onboarding_start,active
USR_1034,2025-03-19 00:00:00,onboarding_complete,new
USR_1387,2025-01-02 00:00:00,onboarding_complete,active
USR_1771,2025-02-23 00:00:00,onboarding_start,at-risk
USR_1555,2025-02-03 00:00:00,onboarding_complete,churned
USR_1270,2025-03-13 00:00:00,onboarding_complete,active
USR_1701,2025-02-09 00:00:00,payment_success,at-risk
USR_1052,2025-01-24 00:00:00,onboarding_complete,active
USR_1379,2025-02-10 00:00:00,onboarding_start,new
USR_1520,2025-03-29 00:00:00,onboarding_complete,active
USR_1062,2025-01-11 00:00:00,onboarding_start,at-risk
USR_1418,2025-02-02 00:00:00,pricing_view,churned
USR_1040,2025-01-28 00:00:00,payment_success,active
USR_1032,2025-02-17 00:00:00,onboarding_complete,active
USR_1098,2025-02-13 00:00:00,pricing_view,at-risk
USR_1738,2025-02-16 00:00:00,pricing_view,at-risk
USR_1217,2025-01-14 00:00:00,onboarding_complete,active
USR_1014,2025-03-31 00:00:00,onboarding_start,new
USR_1574,2025-02-21 00:00:00,onboarding_complete,active
USR_1484,2025-01-23 00:00:00,pricing_view,active
USR_1540,2025-02-05 00:00:00,feature_usage,active
USR_1242,2025-03-27 00:00:00,feature_usage,active
USR_1573,2025-02-26 00:00:00,onboarding_start,active
USR_1619,2025-02-13 00:00:00,onboarding_complete,at-risk
USR_1639,2025-03-30 00:00:00,onboarding_start,new
USR_1376,2025-01-27 00:00:00,onboarding_complete,at-risk
USR_1744,2025-01-03 00:00:00,onboarding_start,active
